,name,Name_Matched
0,James Hendler,Q6135847
2,Michele Missikoff,Q112380449
3,Dieter Fensel,Q92918
4,Katia Sycara,Q51781
5,John Mylopoulos,Q18156660
6,Asunción Gómez Pérez,Q29562949
7,Sheila McIlraith,Q64819738
9,Christoph Bussler,Q102758641
13,Jeff Bradshaw,Q100758276
14,Ying Ding,Q93033371
16,Jeff Heflin,Q115673455
17,Atanas Kiryakov,Q104437913
18,Frank van Harmelen,Q5490605
19,Sheila McIlraith,Q64819738
21,Riichiro Mizoguchi,Q112433082
22,Dean Allemang,Q5245975
24,Jeremy J. Carroll,Q111986732
25,Stefan Decker,Q54303353
26,Michel Klein,Q57193459
27,Ubbo Visser,Q41811093
28,Vipul Y. Kashyap,Q102249197
29,Takahira Yamaguchi,Q11467542
34,Akira Maeda,Q88320044
36,York Sure-Vetter,Q51283173
37,Daniel Schwabe,Q57226844
38,Isabel F. Cruz,Q90664690
39,Stefan Decker,Q54303353
40,Dean Allemang,Q5245975
41,Chris Preist,Q59770955
43,Vipul Y. Kashyap,Q102249197
44,Eric L. Miller,Q51903830
45,Amit Sheth,Q4746879
48,Jennifer A. Golbeck,Q15429153
49,Lora Aroyo,Q30102184
52,m.c. schraefel,Q86329067
54,Peter Mika,Q44098890
55,Mike Uschold,Q87581390
57,Riichiro Mizoguchi,Q112433082
58,Guus Schreiber,Q51683872
59,Sung Han-kuk,Q1656902
60,Karl Aberer,Q96619668
61,Key-Sun Choi,Q51687803
64,Geert-Jan Houben,Q30101316
65,John Domingue,Q93046
67,Dean Allemang,Q5245975
68,Kyung-Il Lee,Q102409099
70,Jennifer A. Golbeck,Q15429153
71,Peter Mika,Q44098890
74,Diana Maynard,Q30095223
75,Young-Sik Jeong,Q53259139
76,York Sure-Vetter,Q51283173
81,Tom Heath,Q17744272
83,Tim Finin,Q7803487
84,Amit Sheth,Q4746879
88,James Hendler,Q6135847
89,Peter Mika,Q44098890
90,Diana Maynard,Q30095223
92,Rudi Studer,Q92692
94,Holger Lewen,Q65013180
95,York Sure-Vetter,Q51283173
101,Anupam Joshi,Q29253659
102,John Domingue,Q93046
103,Benjamin Nathan Grosof,Q102313048
104,Richard Cyganiak,Q41558982
107,M. Joel Sachs,Q102406189
109,Abraham Bernstein,Q26001299
110,David Karger,Q5235856
111,Tom Heath,Q17744272
113,Peter Mika,Q44098890
115,Diana Maynard,Q30095223
119,Jeff Heflin,Q115673455
122,Jennifer A. Golbeck,Q15429153
126,Tania Tudorache,Q29053249
129,Fabio Ciravegna,Q30339109
131,Richard Cyganiak,Q41558982
132,Todd Schneider,Q66018889
133,M. Joel Sachs,Q102406189
137,Pascal Hitzler,Q30103406
138,Peter Mika,Q44098890
144,Bijan Parsia,Q30234563
146,Diana Maynard,Q30095223
156,Birte Glimm,Q81295922
157,Anand Ranganathan,Q102307309
159,Jeff Heflin,Q115673455
161,Lora Aroyo,Q30102184
162,Chris Welty,Q5108445
165,Abraham Bernstein,Q26001299
167,Marco Neumann,Q64520752
170,Heiner Stuckenschmidt,Q38721681
171,Tania Tudorache,Q29053249
173,Diana Maynard,Q30095223
176,York Sure-Vetter,Q51283173
178,Mark Greaves,Q102339013
181,Jennifer A. Golbeck,Q15429153
184,Abraham Bernstein,Q26001299
187,Jeff Heflin,Q115673455
188,Tania Tudorache,Q29053249
191,Manfred Hauswirth,Q89108293
193,Tim Berners-Lee,Q80
194,Tom Heath,Q17744272
195,Ivan Herman,Q44836217
196,Guus Schreiber,Q51683872
197,James Hendler,Q6135847
198,Jennifer A. Golbeck,Q15429153
200,Birte Glimm,Q81295922
201,Claudia d'Amato,Q57418697
203,Diana Maynard,Q30095223
205,Peter Mika,Q44098890
211,Chris Welty,Q5108445
214,Armin Haller,Q58043963
218,Achille Fokoue,Q108345903
222,Lora Aroyo,Q30102184
231,Sean Bechhofer,Q56513265
233,Pascal Hitzler,Q30103406
235,Armin Haller,Q58043963
237,Kingsley Uyi Idehen,Q6413347
238,Krzysztof Janowicz,Q59543045
244,Carole Goble,Q11604
246,Luciano Serafini,Q57302396
247,Peter Mika,Q44098890
248,Tania Tudorache,Q29053249
249,Abraham Bernstein,Q26001299
250,Chris Welty,Q5108445
252,Denny Vrandečić,Q18618629
253,Peter Mika,Q44098890
254,Tania Tudorache,Q29053249
256,Denny Vrandečić,Q18618629
257,Richard V. Benjamins,Q102359167
260,Abraham Bernstein,Q26001299
261,Chris Welty,Q5108445
262,Lora Aroyo,Q30102184
263,Johanna Völker,Q64728333
264,Matthew Horridge,Q103042912
269,Krzysztof Janowicz,Q59543045
270,Sean Bechhofer,Q56513265
272,Roberta Cuel,Q59491539
274,Vincenzo Maltese,Q110611702
281,Jeff Heflin,Q115673455
282,Marcelo Arenas,Q102278559
285,Markus Strohmaier,Q48612584
286,Mathieu d'Aquin,Q57303215
288,Michel Dumontier,Q28194921
293,Krzysztof Janowicz,Q59543045
296,Fabio Ciravegna,Q30339109
299,Sean Bechhofer,Q56513265
300,Kostis Kyzirakos,Q114456433
301,Michelle Cheatham,Q99295526
306,Matthew Horridge,Q103042912
307,Nadeschda Nikitina,Q65176276
308,Yolanda Gil,Q52353442
312,Alasdair J. G. Gray,Q27968000
315,Freddy Lecue,Q54805203
317,Heiner Stuckenschmidt,Q38721681
320,Abraham Bernstein,Q26001299
321,Pascal Hitzler,Q30103406
322,Guus Schreiber,Q51683872
324,Riichiro Mizoguchi,Q112433082
329,Silvio Peroni,Q30536251
